Age,Accessibility,EdLevel,Employment,MentalHealth,MainBranch,YearsCode,PreviousSalary,ComputerSkills,Employed,Man,NonBinary,Woman,Asia,Australia,Europe,NorthAmerica,Others,South America
0,0,1,1,0,1,9,25944.0,16,1,1,0,0,0,0,1,0,0,0
1,1,2,1,0,1,26,179858.0,16,0,1,0,0,1,0,0,0,0,0
1,0,1,1,0,1,26,30372.0,6,1,1,0,0,0,0,1,0,0,0
0,0,3,1,1,1,15,29832.0,14,1,1,0,0,0,0,1,0,0,0
0,0,2,1,0,1,10,40020.0,16,1,1,0,0,0,0,0,0,1,0
1,0,4,1,0,0,20,90000.0,8,0,1,0,0,0,0,0,1,0,0
0,0,2,1,0,1,12,67000.0,28,1,1,0,0,0,0,0,1,0,0
0,1,2,1,0,1,12,21676.0,8,0,1,0,0,1,0,0,0,0,0
1,0,3,1,0,1,25,101649.0,4,0,1,0,0,0,0,1,0,0,0
0,0,1,1,0,1,6,17352.0,22,1,1,0,0,0,0,0,0,0,1
0,0,3,1,0,1,8,34380.0,10,0,1,0,0,0,0,1,0,0,0
1,0,4,1,0,1,35,155111.0,9,0,1,0,0,0,0,1,0,0,0
0,0,3,1,0,1,16,64860.0,12,1,1,0,0,0,0,1,0,0,0
1,0,2,1,1,1,14,123228.0,7,0,1,0,0,0,0,1,0,0,0
0,0,2,0,1,1,6,90000.0,14,0,1,0,0,0,0,0,1,0,0
0,0,0,1,0,0,15,28308.0,10,0,1,0,0,0,0,0,0,1,0
0,0,3,1,0,1,3,48644.0,9,0,1,0,0,0,0,1,0,0,0
0,0,2,1,0,1,12,54769.0,7,0,1,0,0,0,0,1,0,0,0
0,0,2,1,0,1,7,45564.0,16,1,1,0,0,0,0,1,0,0,0
0,0,2,1,0,1,9,25428.0,20,1,1,0,0,1,0,0,0,0,0
0,1,3,1,0,0,20,29000.0,2,0,1,0,0,0,0,0,1,0,0
0,0,2,1,0,1,10,170000.0,24,1,1,0,0,0,0,0,1,0,0
0,1,2,1,0,1,7,19728.0,22,1,0,0,1,0,0,0,0,1,0
0,0,2,1,0,1,9,24132.0,8,0,1,0,0,0,0,1,0,0,0
0,0,1,1,0,1,10,54804.0,20,1,1,0,0,0,0,0,0,1,0
0,0,2,1,0,1,9,70000.0,13,1,1,0,0,0,0,0,1,0,0
0,0,2,1,0,1,13,42432.0,13,1,1,0,0,0,0,0,0,1,0
1,0,3,0,0,1,15,97288.0,13,1,1,0,0,0,0,1,0,0,0
0,0,0,1,0,1,8,40000.0,9,0,1,0,0,0,0,0,1,0,0
0,0,2,1,0,1,8,15408.0,20,1,1,0,0,1,0,0,0,0,0
0,0,3,1,0,1,7,54224.0,8,0,1,0,0,0,0,1,0,0,0
0,0,3,1,0,1,11,81319.0,13,1,1,0,0,0,0,1,0,0,0
1,0,2,1,1,0,22,85000.0,5,0,1,0,0,0,0,0,1,0,0
0,0,2,1,0,1,6,64859.0,17,1,1,0,0,0,0,1,0,0,0
1,0,3,1,0,1,35,62268.0,15,1,1,0,0,0,0,1,0,0,0
0,0,1,1,1,1,12,31750.0,18,1,1,0,0,0,0,0,1,0,0
0,0,3,1,0,1,6,100000.0,17,1,1,0,0,0,0,0,1,0,0
0,0,2,1,0,1,5,92000.0,14,0,1,0,0,0,0,0,1,0,0
0,0,2,1,0,1,10,34591.0,15,0,1,0,0,0,0,1,0,0,0
1,0,1,1,0,1,20,92500.0,23,1,1,0,0,0,0,1,0,0,0
0,0,3,1,0,1,15,135000.0,7,0,1,0,0,0,0,0,1,0,0
